X,CH1,CH2,
187,5.20e-01,0.00e+00,
188,4.88e-01,6.00e-02,
189,5.20e-01,0.00e+00,
190,4.88e-01,0.00e+00,
191,5.20e-01,8.00e-02,
192,4.88e-01,0.00e+00,
193,5.20e-01,8.00e-02,
194,4.88e-01,6.00e-02,
195,5.20e-01,0.00e+00,
196,4.88e-01,8.00e-02,
197,5.20e-01,0.00e+00,
198,5.20e-01,0.00e+00,
199,4.88e-01,8.00e-02,
200,4.88e-01,8.00e-02,
201,5.28e-01,0.00e+00,
202,4.88e-01,0.00e+00,
203,5.20e-01,8.00e-02,
204,4.88e-01,2.00e-02,
205,5.20e-01,8.00e-02,
206,5.28e-01,8.00e-02,
207,4.88e-01,0.00e+00,
208,7.20e-01,8.00e-02,
209,3.52e-01,0.00e+00,
210,4.88e-01,8.00e-02,
211,5.36e-01,0.00e+00,
212,2.56e-01,8.00e-02,
213,6.96e-01,0.00e+00,
214,4.88e-01,8.00e-02,
215,5.28e-01,0.00e+00,
216,4.88e-01,8.00e-02,
217,5.28e-01,0.00e+00,
218,4.88e-01,8.00e-02,
219,5.20e-01,0.00e+00,
220,4.88e-01,8.00e-02,
221,5.28e-01,0.00e+00,
222,5.20e-01,0.00e+00,
223,4.88e-01,8.00e-02,
224,5.20e-01,0.00e+00,
225,4.88e-01,8.00e-02,
226,4.88e-01,0.00e+00,
227,5.28e-01,8.00e-02,
228,4.88e-01,0.00e+00,
229,5.28e-01,8.00e-02,
230,5.20e-01,6.00e-02,
231,4.88e-01,0.00e+00,
232,4.88e-01,8.00e-02,
233,5.28e-01,0.00e+00,
234,5.76e-01,8.00e-02,
235,3.92e-01,0.00e+00,
236,2.48e-01,0.00e+00,
237,7.28e-01,8.00e-02,
238,4.64e-01,8.00e-02,
239,5.44e-01,0.00e+00,
240,5.28e-01,0.00e+00,
241,4.88e-01,8.00e-02,
242,5.44e-01,0.00e+00,
243,4.80e-01,8.00e-02,
244,5.28e-01,0.00e+00,
245,4.80e-01,8.00e-02,
246,4.88e-01,8.00e-02,
247,5.20e-01,0.00e+00,
248,4.88e-01,0.00e+00,
249,5.28e-01,8.00e-02,
250,4.88e-01,0.00e+00,
251,5.20e-01,8.00e-02,
252,6.16e-01,0.00e+00,
253,3.52e-01,8.00e-02,
254,2.32e-01,0.00e+00,
255,7.60e-01,2.56e+00,
256,1.60e-01,2.48e+00,
257,6.00e-01,2.56e+00,
258,4.64e-01,2.54e+00,
259,5.60e-01,0.00e+00,
260,5.60e-01,0.00e+00,
261,4.64e-01,8.00e-02,
262,4.72e-01,8.00e-02,
263,5.60e-01,0.00e+00,
264,5.84e-01,8.00e-02,
265,4.08e-01,0.00e+00,
266,7.60e-01,0.00e+00,
267,1.44e-01,2.56e+00,
268,4.64e-01,2.48e+00,
269,5.52e-01,2.54e+00,
270,4.72e-01,2.54e+00,
271,5.52e-01,-2.00e-02,
272,4.80e-01,8.00e-02,
273,5.44e-01,0.00e+00,
274,4.88e-01,0.00e+00,
275,5.36e-01,8.00e-02,
276,4.88e-01,0.00e+00,
277,5.36e-01,8.00e-02,
278,4.40e-01,0.00e+00,
279,5.68e-01,8.00e-02,
280,4.48e-01,0.00e+00,
281,6.00e-01,8.00e-02,
282,5.52e-01,8.00e-02,
283,4.80e-01,0.00e+00,
284,4.88e-01,8.00e-02,
285,5.28e-01,0.00e+00,
286,5.20e-01,0.00e+00,
287,4.88e-01,8.00e-02,
288,4.88e-01,0.00e+00,
289,5.36e-01,8.00e-02,
290,4.40e-01,8.00e-02,
291,5.60e-01,0.00e+00,
292,4.88e-01,8.00e-02,
293,5.36e-01,0.00e+00,
294,5.20e-01,0.00e+00,
295,4.80e-01,8.00e-02,
296,4.80e-01,8.00e-02,
297,5.44e-01,0.00e+00,
298,6.88e-01,8.00e-02,
299,3.44e-01,0.00e+00,
300,2.40e-01,8.00e-02,
301,7.12e-01,0.00e+00,
302,5.60e-01,8.00e-02,
303,4.40e-01,0.00e+00,
304,5.60e-01,0.00e+00,
305,4.56e-01,8.00e-02,
306,4.48e-01,0.00e+00,
307,5.60e-01,8.00e-02,
308,5.44e-01,0.00e+00,
309,4.72e-01,8.00e-02,
310,5.92e-01,8.00e-02,
311,4.08e-01,2.00e-02,
312,7.60e-01,0.00e+00,
313,1.52e-01,2.56e+00,
314,5.76e-01,2.54e+00,
315,4.24e-01,0.00e+00,
316,5.76e-01,0.00e+00,
317,4.56e-01,8.00e-02,
318,2.56e-01,8.00e-02,
319,6.96e-01,0.00e+00,
320,4.64e-01,0.00e+00,
321,5.52e-01,8.00e-02,
322,5.60e-01,0.00e+00,
323,4.56e-01,8.00e-02,
324,4.72e-01,0.00e+00,
325,5.44e-01,8.00e-02,
326,4.64e-01,0.00e+00,
327,5.52e-01,8.00e-02,
328,4.80e-01,0.00e+00,
329,5.36e-01,8.00e-02,
330,4.88e-01,8.00e-02,
331,5.36e-01,0.00e+00,
332,4.88e-01,0.00e+00,
333,5.28e-01,8.00e-02,
334,5.36e-01,0.00e+00,
335,4.64e-01,8.00e-02,
336,4.56e-01,0.00e+00,
337,5.76e-01,8.00e-02,
